Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2014;Juli;13;-1;-1.8;37.3;37.6;1432;1025;101;64
2014;Juli;14;-1.9;1.3;34;16.5;1336;1598;145;0
2014;Juli;15;0;0;6;6;1645;1645;1;1
2014;Juli;16;2.1;0.7;-3;18.4;1375;1672;19;9
2014;Juli;17;4.9;0.7;10.1;16.4;2940;1790;0;57
2014;Juli;18;3.3;-2.2;25.6;24.2;1843;1769;0;103
2014;Juli;19;-0.7;-5.3;24.4;30.6;1233;1747;3;1768
2014;Juli;20;-0.7;-0.4;29.9;36.4;1398;2064;339;317
2014;Juli;21;-4.6;-4;36.7;23.8;1001;1532;1615;1467
2014;Juli;22;-3.4;-2.2;31.6;29.7;1077;1386;1127;1074
2014;Juli;23;-1.8;-3.7;31.7;35.5;1429;1806;7;1780
2014;Juli;24;0.7;-0.4;0.7;29.4;1258;1459;46;150
2014;Juli;25;-0.4;-0.9;32.9;29;1357;1425;117;111
2014;Juli;26;-2.3;0.2;30.7;33.8;1473;1425;27;10
2014;Juli;27;-2.1;-1.3;29.9;28.9;1079;1510;40;44
2014;Juli;28;1.5;-0.6;32.7;32.4;1573;1129;1;521
2014;Juli;29;3.5;2.9;32;26.8;1992;1615;37;29
2014;Juli;30;0.7;-1.9;-12.3;-5.7;1341;1680;40;147
2014;Juli;31;0.6;-0.3;13.3;21.2;1594;1455;23;38
2014;Agustus;1;-2.9;-3.5;26.6;29;1116;2229;149;156
2014;Agustus;2;-1.4;-2.3;14.7;28.4;1597;1592;92;64
2014;Agustus;3;1.5;-3.8;21.5;30.5;1753;1658;2;1540
2014;Agustus;4;-4.4;-3.9;23.9;30;1082;1578;856;1489
2014;Agustus;5;-2.4;-3.9;29.2;30;1168;1578;370;1489
2014;Agustus;6;-2.6;-2.7;23.3;25;1738;2212;303;6
2014;Agustus;7;-0.2;-1.1;20.6;26.4;1588;1596;70;12
2014;Agustus;8;-1.7;;23.3;;1561;;0;
2014;Agustus;9;-1.2;-1.8;34.4;36.9;1359;1371;9;0
2014;Agustus;10;-1.4;;26.5;;1844;;0;
2014;Agustus;11;;-0.3;;31.6;;1687;;348
2014;Agustus;12;3;-0.3;28.3;23.6;1450;1435;0;467
2014;Agustus;13;3.1;0.5;24.4;16.8;1533;1609;0;2
2014;Agustus;14;-0.2;-1;20.4;18.4;1339;1467;10;50
2014;Agustus;15;2.4;2.2;21.5;19.3;2342;1452;4;10
2014;Agustus;16;3.8;0.6;-2.7;-4.3;1576;1834;7;19
2014;Agustus;17;4.6;1.8;-8.5;-11.5;1655;1737;0;9
2014;Agustus;18;4.9;-1.9;-9.7;11.9;1684;2009;0;32
2014;Agustus;19;2.8;-1.8;24.9;25.1;1596;1759;0;64
2014;Agustus;20;3.6;-2;31.5;35.8;2154;1502;0;2
2014;Agustus;21;-1.9;-2.3;31.4;34;1177;1297;12;1164
2014;Agustus;22;2.3;-2.3;28.6;28.5;1401;1256;0;1783
2014;Agustus;23;1.9;0;16.4;16.3;1454;1428;0;26
2014;Agustus;24;1.2;-0.5;13.3;10.3;1661;1569;0;31
2014;Agustus;25;4.3;1;10.7;14.1;1921;3083;0;132
2014;Agustus;26;4;2;18.5;18.4;862;1928;0;0
2014;Agustus;27;2.1;1.1;5.1;11.5;2223;2899;0;0
2014;Agustus;28;1.5;0.1;24.5;16.2;1397;1973;3;22
2014;Agustus;29;2;0.8;22.5;24.3;1312;1586;4;10
2014;Agustus;30;3.8;0.8;10.9;2;2368;1554;0;26
2014;Agustus;31;6.8;-1.9;2.3;23.1;2619;1784;0;35
2015;Juni;1;-0.9;-3.4;30.2;31.4;1348;3879;13;31
2015;Juni;2;-3.1;-3.6;32.2;31.4;1878;14691;974;1943
2015;Juni;3;-2.5;-3.6;34.8;37.3;1352;14801;12;1837
2015;Juni;4;-1.4;0.2;30.8;23.3;1741;2919;825;7
2015;Juni;5;-0.9;-4.1;23.2;25.6;1988;2199;3;2415
2015;Juni;6;0;-2.9;30.2;33.5;2039;13373;0;1897
2015;Juni;7;-1.7;-3.1;32;36.6;1714;15204;3;1228
2015;Juni;8;-3.7;-3.1;19.6;39.8;6616;14943;806;556
2015;Juni;9;-3.6;-2.4;36;33.1;1567;14469;1421;8
2015;Juni;10;-2.9;-3.6;26.4;20.8;1115;2211;1127;1740
2015;Juni;11;-1.3;-1;16.6;19.6;1248;5271;0;3
2015;Juni;12;-0.7;1.6;9.3;13.6;3180;2189;73;11
2015;Juni;13;3.1;1.3;11.7;15.8;2698;3764;0;0
2015;Juni;14;1.5;1.4;9.7;6;2503;;6;0
2015;Juni;15;1.2;1.9;2.1;16.3;1561;13238;0;0
2015;Juni;16;1.7;2.5;18.5;6.9;3186;4128;0;0
2015;Juni;17;4.4;0.7;15.9;-3.1;2572;14324;0;5
2015;Juni;18;2.2;-0.3;3.1;5.8;1852;2356;0;25
2015;Juni;19;-0.1;-1.2;11.4;32.6;1584;4017;3;11
2015;Juni;20;-0.6;-1.4;9.3;20.2;2950;6445;13;51
2015;Juni;21;-1;3.5;9.4;11.6;904;14753;152;0
2015;Juni;22;4.3;1.9;3.9;3.4;2940;14273;0;0
2015;Juni;23;1.6;-2.3;-2.9;-9.7;3016;13622;0;95
2015;Juni;24;3.2;-1.9;-9.9;0.5;1677;13340;0;37
2015;Juni;25;2.4;0.6;-0.9;6.8;2139;7612;0;33
2015;Juni;26;0.5;-1.5;6.9;11.7;1456;2664;30;122
2015;Juni;27;-2.6;-3.6;26.4;27.2;1166;13814;0;1299
2015;Juni;28;-1.3;-1.4;23.9;5.1;1868;7099;101;130
2015;Juni;29;-1.2;0;16.7;14.8;1551;2247;135;27
2015;Juni;30;1.5;-2.3;16.5;13.5;2691;7414;0;37
2015;Juli;1;0;1.1;20.1;21.4;1349;1533;1;16
2015;Juli;2;3.3;4.3;31.5;-14.1;1776;1611;22;8
2015;Juli;3;5.1;5.4;-14.5;-10.5;1873;1600;9;24
2015;Juli;4;6.6;1.2;-17.3;-5.3;2034;1714;0;57
2015;Juli;5;5;5;3.1;12.5;1920;3730;0;0
2015;Juli;6;7.7;2.4;5.1;10.9;2007;1609;0;29
2015;Juli;7;6.2;3.5;20.2;21.9;1388;1569;0;15
2015;Juli;8;5.1;1.6;25.3;24.1;1666;1390;0;15
2015;Juli;9;2.6;1.7;31.7;30;1420;1789;1;9
2015;Juli;10;3.5;-0.1;21;22.7;2371;1858;0;56
2015;Juli;11;1.6;-2.7;22.1;28;1404;1170;0;1291
2015;Juli;12;-1.9;-2.1;27.9;24.3;916;1514;716;982
2015;Juli;13;-2.1;-0.1;28.6;24.1;963;1626;278;7
2015;Juli;14;-1.1;-0.8;20.3;20.7;1464;3290;50;45
2015;Juli;15;-1.2;0.6;22.1;14.6;1022;1665;48;
2015;Juli;16;1.9;0.5;10.7;6;989;1319;0;28
2015;Juli;17;0;-1.6;16.3;17.2;1367;3204;0;29
2015;Juli;18;0.2;-1.3;19.5;19.1;1592;2746;1;336
2015;Juli;19;1.9;0;16.9;18.8;1481;1415;0;8
2015;Juli;20;1.8;1.6;22.5;19.2;923;1488;24;14
2015;Juli;21;2.9;-1.7;20.4;10.2;1276;1664;0;59
2015;Juli;22;-0.5;0;8.2;20.3;1656;1497;24;13
2015;Juli;23;0.6;-2.5;19.9;17.2;1447;2722;0;830
2015;Juli;24;-2.4;-1.1;8.7;6.3;2254;1307;16;1603
2015;Juli;25;1.8;-0.5;15.7;19.6;1949;1569;40;13
2015;Juli;26;2.2;0.4;15.3;15.3;2562;1692;0;24
2015;Juli;27;1.8;1.8;15.6;21.1;1539;1679;7;14
2015;Juli;28;1;0.4;13.9;31.3;1467;2009;5;76
2015;Juli;29;0.5;-3;31.5;25.2;1364;1551;8;103
2015;Juli;30;-1.7;-2.7;24.3;14;1281;1271;276;93
2015;Juli;31;-0.5;0.3;21.1;28.4;1389;1498;5;87
2015;Agustus;1;1.7;1.3;5.1;3.6;1294;1977;31;40
2015;Agustus;2;5.9;4.9;-8.7;-1.1;3358;1863;0;8
2015;Agustus;3;7.9;5.1;3.3;12.7;1950;1530;0;11
2015;Agustus;4;6.3;2.3;13.3;24.5;1315;1463;10;9
2015;Agustus;5;0;1.8;28.4;10.7;1554;1731;2;30
2015;Agustus;6;0.2;2;31.3;12.6;906;1192;50;0
2015;Agustus;7;0.1;-0.9;19.5;28.8;816;1271;136;1159
2015;Agustus;8;1.1;0;25.3;30.4;1940;1344;5;2
2015;Agustus;9;0.8;-1.6;13.1;23.6;1055;1283;0;26
2015;Agustus;10;-1;-1.7;20.7;24.7;1785;1369;11;132
2015;Agustus;11;-2.5;-3.4;31.6;28.9;2018;1540;136;138
2015;Agustus;12;-3.3;-7;18.8;17.6;892;1169;16;93
2015;Agustus;13;-2;-1.1;14.8;17.6;1585;3120;3;59
2015;Agustus;14;-1;-0.9;12.3;7.7;1408;1582;0;65
2015;Agustus;15;-2.1;1.2;17.3;15.6;819;2580;79;7
2015;Agustus;16;-0.5;0.5;-2.1;7.3;1168;2846;12;9
2015;Agustus;17;-0.7;0.9;17.1;20.6;1589;3017;20;44
2015;Agustus;18;3.6;2;18.6;22.1;2685;2546;0;0
2015;Agustus;19;0.6;0.5;11.1;11.7;1136;1316;1;
2015;Agustus;20;3.5;3;-6.7;16.9;1267;1578;0;0
2015;Agustus;21;4.5;3.3;15.3;7.1;3404;1755;0;2
2015;Agustus;22;6.6;1.4;-3.3;2.5;3485;1583;0;20
2015;Agustus;23;6.4;4.1;-2.3;3.1;2967;1956;0;0
2015;Agustus;24;3.3;-0.3;11.1;26.6;2869;2712;0;11
2015;Agustus;25;1.3;-0.7;18.1;24.3;2578;1495;0;58
2015;Agustus;26;0.1;0.1;26;22.5;2205;1509;0;11
2015;Agustus;27;-1.1;-2.3;19.3;18.8;2156;1477;32;3
2015;Agustus;28;-0.2;-2;10.1;19.9;2496;1658;28;52
2015;Agustus;29;-1.1;-1.1;16.3;9.5;2692;1625;112;21
