Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2014;Desember;5;-2.8;-0.9;39.4;34.4;1177;1663;560;156
2014;Desember;6;-2.9;-2.5;37.6;34.9;1412;1193;795;607
2014;Desember;7;-2.1;-1.1;34.2;37.7;1491;1813;556;87
2014;Desember;8;-4.3;-5.2;36.8;37.7;2034;1722;853;2654
2014;Desember;9;-2.9;-5;26.1;36;1997;1511;1669;2280
2014;Desember;10;-3.2;-5.4;32.9;30.2;1874;1741;655;3081
2014;Desember;11;-2.3;0.1;29.9;34.1;1498;1452;680;26
2014;Desember;12;-0.1;-0.2;34.9;31;1444;1577;300;1
2014;Desember;13;-1.7;-0.1;30.8;33.3;1533;1814;1033;54
2014;Desember;14;-4.8;-5.2;34.6;32.6;1392;1203;1529;2939
2014;Desember;15;-2.3;-4.9;32.1;38.7;1791;1420;1410;2292
2014;Desember;16;-3.1;-1.9;34.9;38.8;1564;2091;1312;338
2014;Desember;17;-3.3;-1.1;36.3;40.4;1854;1096;813;197
2014;Desember;18;-1.9;-1;34.8;40.4;1281;1182;630;197
2014;Desember;19;-3.1;-2.9;37.5;36.5;1109;1537;1217;828
2014;Desember;20;-2.4;-3.5;35.9;37.5;1656;1283;701;1393
2014;Desember;21;-3.3;-5.3;35.6;37.6;1599;1088;1292;2676
2014;Desember;22;-2.9;-4.5;38.5;34.4;1319;1496;1099;2274
2014;Desember;23;-3.9;-1.4;33.7;32;1488;1246;1807;259
2014;Desember;24;-4.3;-4.3;30.9;30.9;1752;1752;1829;1829
2014;Desember;25;-5.5;-2;37;35.4;1101;1731;2684;1
2014;Desember;26;-4.6;-4;36.7;37.5;1324;1298;1915;2223
2014;Desember;27;-4.1;-3.9;37.8;39.4;1448;1274;1720;1489
2014;Desember;28;-2.4;-2.6;35.5;27.5;1962;1819;758;1550
2014;Desember;29;-0.7;0.3;32.1;36.9;2299;1436;167;5
2014;Desember;30;-3.4;-1.1;30.8;37.8;1503;1421;1536;466
2014;Desember;31;-2.7;0.4;31.2;37.2;1732;1633;1025;1
2015;Januari;1;-0.5;-1.9;32.6;35.3;1899;1139;394;655
2015;Januari;2;-2.7;-3.7;33.9;36.4;1602;1158;971;1909
2015;Januari;3;-1.1;-1.5;26.9;33.1;1525;978;410;328
2015;Januari;4;-2.7;-0.7;30.3;30.6;1812;1482;957;112
2015;Januari;5;-2.7;-2.9;32;34.1;1891;1321;1173;6
2015;Januari;6;-2.8;-1.3;11.6;15.8;2082;1537;11;307
2015;Januari;7;-3;-4;22.3;29.4;2023;1409;684;1589
2015;Januari;8;-0.8;-6.1;24.8;30.3;2132;1211;138;4141
2015;Januari;9;2.9;-0.3;23.3;29.9;3094;1696;0;1
2015;Januari;10;1.6;-3.5;27.7;31;3394;1685;0;1473
2015;Januari;11;-2.5;-0.8;32.2;28.2;1599;1802;872;569
2015;Januari;12;-2.4;-2.7;35.7;33;1366;1369;911;1724
2015;Januari;13;-2.6;;35.9;;1073;1254;790;467
2015;Januari;14;-3.5;-2.6;33.9;37;1469;1557;1241;658
2015;Januari;15;-0.1;-2.9;29.8;34.3;1972;1448;4;859
2015;Januari;16;-0.6;-1.5;29.3;35.6;1894;1204;43;924
2015;Januari;17;-0.9;-2.4;33;36.4;1498;1753;924;446
2015;Januari;18;-1.6;-2.4;37.8;39.7;1330;938;839;667
2015;Januari;19;-1.7;-1.9;34.7;35.3;1733;458;407;790
2015;Januari;20;-1.9;-1.9;37.1;36.5;2237;1246;325;7
2015;Januari;21;-4.8;-3.9;36.4;34.5;1595;1805;2132;1283
2015;Januari;22;-2.1;-1.1;35.1;35.2;867;1156;961;217
2015;Januari;23;-3.1;;32.8;;1675;;1077;
2015;Januari;24;-1.4;-1.6;34;37.4;1461;1535;932;0
2015;Januari;25;-3.6;-4.2;34.6;38.4;1379;1114;1357;1546
2015;Januari;26;-0.6;-5.5;29.5;35.9;2516;1840;113;2789
2015;Januari;27;-2.4;-2.9;27.2;40;1596;1225;27;827
2015;Januari;28;-2.2;-1.7;25.3;36.7;1910;1269;690;548
2015;Januari;29;-2.3;-4.1;33.1;41.6;1699;1030;1275;36
2015;Januari;30;-2.6;-5.9;37;38.3;980;1193;1326;3228
2015;Januari;31;-1.2;-3.8;34;36.2;1417;1306;567;1594
2015;Februari;1;-2.1;-0.8;31.4;33.3;1701;437;1117;704
2015;Februari;2;-2.3;-1;33;36.7;1638;1407;10;157
2015;Februari;3;-2.3;-3.3;31.8;41.4;1158;1478;1233;288
2015;Februari;4;-1.8;-3.3;34.7;41.2;1034;861;62;366
2015;Februari;5;-2.4;-1;32.1;36.4;1252;1402;1000;197
2015;Februari;6;-2.8;3.2;36.4;32;1535;1340;533;164
2015;Februari;7;-3;-3.8;28.1;29.2;1704;1241;1256;1504
2015;Februari;8;-4.9;-1.6;33.9;32.4;1170;1433;2075;804
2015;Februari;9;-5.7;-1.7;33.9;36.3;1130;1552;2120;14
2015;Februari;10;-3.3;-1.7;20.3;35.4;1641;1413;10;836
2015;Februari;11;-2.7;1.2;35.9;36.8;1526;1026;858;33
2015;Februari;12;-1.5;-2.2;32.7;37.3;1591;1475;357;652
2015;Februari;13;-2.1;-4.3;33.8;34.7;1228;971;529;2035
2015;Februari;14;-1.7;-2.6;32.8;34;1438;1081;762;591
2015;Februari;15;-0.8;-5.8;27.7;36.1;2278;1388;154;3229
2015;Februari;16;-3.8;-2.1;28.3;36.1;1658;1641;6;942
2015;Februari;17;-2.6;-3.5;26.6;39.9;1398;1054;29;1169
2015;Februari;18;-1.9;1;28.7;35.3;2095;1315;534;4
2015;Februari;19;-2.7;-5;37;38;1302;1425;932;1928
2015;Februari;20;-1.1;-1.7;35.5;36.1;2226;1313;254;486
2015;Februari;21;-4;-2.5;32.5;38.1;2864;1820;1124;659
2015;Februari;22;-3.5;-6.2;28.8;36.1;1039;1735;1151;3099
2015;Februari;23;-5.9;-4.1;38.2;40.9;1890;988;2722;1572
2015;Februari;24;-3.4;-2.5;32.5;34.6;2022;1674;545;331
2015;Februari;25;-3.1;-3.9;36.7;35.7;1790;1054;615;2168
2015;Februari;26;-3.4;-2.8;34.2;37.3;1100;1269;10;1570
2015;Februari;27;-1.9;-2.2;32;38.6;1137;1471;962;1118
2015;Februari;28;-1.7;-6;35.3;38.2;1226;1584;1193;3120
2015;Desember;1;-3.5;-5.4;31.7;28.9;1648;1481;2230;3386
2015;Desember;2;-3.1;-4.9;35;33.5;1982;1674;1374;1715
2015;Desember;3;-2.4;-3.7;33.8;30.4;1539;1322;589;1637
2015;Desember;4;-2.1;-3.3;25.5;40.9;1770;1360;773;1140
2015;Desember;5;-3.9;-1;33;39.2;1151;1246;1727;28
2015;Desember;6;;-1.6;;32.8;;1601;;488
2015;Desember;7;-1.9;-3.5;32.4;37.1;1369;1565;568;1317
2015;Desember;8;-3.5;-3.5;37.1;39;1124;1390;1658;924
2015;Desember;9;-2.1;-3.5;24.5;39.2;1920;1303;374;1023
2015;Desember;10;-5;-2.4;30.5;34.3;1773;1537;2220;556
2015;Desember;11;-5.3;-2.9;36;30.9;1440;1339;1888;1146
2015;Desember;12;-1.9;-1.7;33.3;33.8;1727;1535;1437;3
2015;Desember;13;-3.5;-3;30.9;39.5;1773;1612;1277;1188
2015;Desember;14;-4.8;-0.9;39.3;39;1430;1279;1856;89
2015;Desember;15;-2.6;-2;35.6;35.4;1967;1190;595;702
2015;Desember;16;-2;-2.5;35.5;38;2058;1202;367;2
2015;Desember;17;-2.2;-1.8;34.4;37.6;1721;1206;478;392
2015;Desember;18;-2.4;-0.9;32.8;38.5;1699;1322;455;166
2015;Desember;19;-1.8;-1.1;36.6;35.6;1387;1755;684;88
2015;Desember;20;-3.1;-0.4;32.7;36.8;1389;1121;991;13
2015;Desember;21;-2.2;-3.6;35.3;38.4;1219;1111;681;1533
2015;Desember;22;-2.1;-1;33;30.9;1415;1768;947;41
2015;Desember;23;-3.3;2.2;32.6;37.2;1686;1438;1267;0
2015;Desember;24;-3.2;-2;30.3;37.7;1759;1367;1405;451
2015;Desember;25;-2.5;-2;22.2;25.5;2053;1667;609;929
2015;Desember;26;;-0.3;;31.4;;1872;;273
