Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2014;April;30;-4;-5.8;34.4;34.2;1215;1418;1900;3487
2014;Mei;1;;-4.5;;34.8;;976;;3056
2014;Mei;2;-3;-0.7;29.2;27.5;1185;2362;924;0
2014;Mei;3;-5.4;-3;37.5;34;1428;1607;2395;1512
2014;Mei;4;-5.5;-3.7;34.9;33.4;1620;1427;2824;2704
2014;Mei;5;-2.9;-2.7;36.4;25.1;1187;1405;1140;1096
2014;Mei;6;-2.4;-3;20.9;31.3;1128;1398;830;2353
2014;Mei;7;-1.2;-5.8;6.1;31.8;1909;1352;2876;2581
2014;Mei;8;-2.9;-5.5;25.9;28.3;1992;2106;8;3142
2014;Mei;9;-2.7;-4.1;29.5;31.9;1399;1300;997;1344
2014;Mei;10;-1.8;-2.8;21.5;20.8;1673;1521;750;1679
2014;Mei;11;-0.3;-3.6;12.1;32.3;1213;2106;8;2663
2014;Mei;12;0.4;-3.1;29.1;37.9;2135;1198;5482;1616
2014;Mei;13;-3.6;-4.2;34.5;34;2148;1152;1712;2182
2014;Mei;14;-2.1;-2.7;33.4;30.3;1130;1313;1012;920
2014;Mei;15;-7.6;-3;40.4;28.9;1369;1272;2699;34
2014;Mei;16;-3.8;-5.3;36.9;28.4;1325;1533;1771;2477
2014;Mei;17;-3.8;-5.1;39.7;21.1;1002;1374;845;2431
2014;Mei;18;-5.6;-5;21.9;28.9;1770;1762;2038;2122
2014;Mei;19;-2.2;-4.3;29.3;33.3;1813;2334;600;1320
2014;Mei;20;-1;-4.9;33.3;33.9;1381;1247;32;3000
2014;Mei;21;-2.6;-0.9;34.9;31.7;1452;2281;1431;79
2014;Mei;22;-3.5;-3.9;33.2;33.8;15110;1460;1405;2081
2014;Mei;23;-2.2;-2.2;30.8;24.7;1380;3305;644;607
2014;Mei;24;-3.7;-4.7;32.3;31.7;1489;864;1383;3614
2014;Mei;25;-6.5;-6.6;35.5;35;1156;1264;3131;3639
